"province_id.id","district_id.id","municipality_code","municipality_name"
4,44,"03","Jaljala Rural municipality"
4,44,"04","Paiyun Rural Municipality"
4,44,"05","Mahashila Rural Municipality"
4,44,"06","Modi Rural Municipality"
4,44,"07","Bihadi Rural Municipality"
4,45,"01","Galyang Municipality"
4,45,"02","Chapakot Municipality"
4,45,"03","Putalibazar Municipality"
4,45,"04","Bheerkot Municipality"
4,45,"05","Waling Municipality"
4,45,"06","Arjun Chaupari Rural Municipality"
4,45,"07","Aandhikhola Rural Municipality"
4,45,"08","Kaligandaki Rural Municipality"
4,45,"09","Phedikhola Rural Municipality"
4,45,"10","Harinas Rural Municipality"
4,45,"11","Biruwa Rural Municipality"
4,46,"01","Bhanu Municipality"
4,46,"02","Bhimad Municipality"
4,46,"03","Byas Municipality"
4,46,"04","Shuklagandaki Municipality"
4,46,"05","Anbu Khaireni Rural Municipality"
4,46,"06","Devghat Rural Municipality"
4,46,"07","Bandipur Rural Municipality"
4,46,"08","Rishing Rural Municipality"
4,46,"09","Ghiring Rural Municipality"
4,46,"10","Myagde Rural Municipality"
5,47,"01","Kapilvastu Municipality"
5,47,"02","Banganga Municipality"
5,47,"03","Buddhabhumi Municipality"
5,47,"04","Shivaraj Municipality"
5,47,"05","Krishnanagar Municipality"
5,47,"06","Maharajgunj Municipality"
5,47,"07","Mayadevi Rural Municipality"
5,47,"08","Yashodhara Rural Municipality"
5,47,"09","Suddhodhan Rural Municipality"
5,47,"10","Bijaynagar Rural Municipality"
5,48,"01","Bardaghat Municipality"
5,48,"02","Ramgram Municipality"
5,48,"03","Sunwal Municipality"
5,48,"04","Susta Rural Municipality"
5,48,"05","Palhinandan Rural Municipality"
5,48,"06","Pratappur Rural Municipality"
5,48,"07","Sarawal Rural Municipality"
5,49,"01","Butwal Sub Metro Municipality"
5,49,"02","Devdaha Municipality"
5,49,"03","Lumbini Sanskritik Municipality"
